T,800 ℃,950 ℃
δ,0.125-0.25,0.125-0.25
Sr0.25Ba0.75Cu0.125Mn0.25.625,2.69303,2.55892
Sr0.25Ba0.75Cu0.125Mn0.375Ti0.5,2.11082,1.96866
Sr0.25Ba0.75Cu0.125Ni0.125.75,2.6885,2.5598
Sr0.25Ba0.75Cu0.125Ni0.25.625,2.69303,2.55892
Sr0.25Ba0.75Cu0.125Ni0.375Ti0.5,2.11874,1.97727
Sr0.25Ba0.75Cu0.25Mg0.125.625,2.69303,2.55892
Sr0.25Ba0.75Cu0.25Mg0.25Ti0.5,2.0938,1.95418
Sr0.25Ba0.75Cu0.25Mn0.125.625,2.69303,2.55892
Sr0.25Ba0.75Cu0.25Mn0.25Ti0.5,2.0938,1.95418
Sr0.25Ba0.75Cu0.25Ni0.125.625,2.69303,2.55892
Sr0.25Ba0.75Cu0.25Ni0.25Ti0.5,2.0938,1.95418
Sr0.25Ba0.75Cu0.375Mg0.125Ti0.5,2.0938,1.95418
Sr0.25Ba0.75Cu0.375Mn0.125Ti0.5,2.0938,1.95418
Sr0.25Ba0.75Cu0.375Ni0.125Ti0.5,2.0938,1.95418
Sr0.25Ba0.75Fe0.125Co0.125.75,2.00476,1.85968
Sr0.25Ba0.75Fe0.125Cu0.125.75,2.00476,1.85968
Sr0.25Ba0.75Fe0.125Mg0.125.75,2.00476,1.85968
Sr0.25Ba0.75Fe0.125Mn0.125.75,2.00476,1.85968
Sr0.25Ba0.75Fe0.125Ni0.125.75,2.00476,1.85968
Sr0.25Ba0.75Mg0.125Ni0.125.75,2.6885,2.5598
Sr0.25Ba0.75Mg0.125Ni0.25.625,2.69303,2.55892
Sr0.25Ba0.75Mg0.125Ni0.375Ti0.5,2.11874,1.97727
Sr0.25Ba0.75Mg0.25Ni0.125.625,2.69303,2.55892
Sr0.25Ba0.75Mg0.25Ni0.25Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Mg0.375Ni0.125Ti0.5,2.10787,1.96539
Sr0.25Ba0.75Mn0.125Mg0.125.75,2.6885,2.5598
Sr0.25Ba0.75Mn0.125Mg0.25.625,2.69303,2.55892
Sr0.25Ba0.75Mn0.125Mg0.375Ti0.5,2.10787,1.96539
Sr0.25Ba0.75Mn0.125Ni0.125.75,2.6885,2.5598
Sr0.25Ba0.75Mn0.125Ni0.25.625,2.69303,2.55892
